batch_size,prompt_type,prompt_length,total_output_tokens,batch_time,avg_token_latency,avg_throughput,avg_time_to_first_token_user,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent
1,simple,short,11,0.3620014190673828,0.03290921991521662,30.386621213638016,0.12150049209594727,NVIDIA GeForce RTX 3060 Ti,7234,8192,46
8,simple,short,641,15.928630828857422,0.024849658079340753,40.24200239726314,7.3153723776340485,NVIDIA GeForce RTX 3060 Ti,7203,8192,54
32,simple,short,1912,47.67839217185974,0.024936397579424553,40.102023430405886,27.499732956290245,NVIDIA GeForce RTX 3060 Ti,7474,8192,49
128,simple,short,8281,207.1482002735138,0.025014877463291122,39.97621021599973,106.34233544953167,NVIDIA GeForce RTX 3060 Ti,7451,8192,47
1,simple,short,13,0.42000412940979004,0.03230800995459923,30.952076633789826,0.1250014305114746,NVIDIA GeForce RTX 3060 Ti,7444,8192,47
8,simple,short,394,9.904582738876343,0.025138534870244526,39.779565720978425,3.393904060125351,NVIDIA GeForce RTX 3060 Ti,7477,8192,46
32,simple,short,1801,45.39787697792053,0.025207038855036386,39.67145866481652,23.386116683483124,NVIDIA GeForce RTX 3060 Ti,7449,8192,45
128,simple,short,8429,212.43676280975342,0.02520308017674142,39.67768990882499,86.50043301656842,NVIDIA GeForce RTX 3060 Ti,7300,8192,58
1,simple,short,15,0.47800397872924805,0.031866931915283205,31.38049193623204,0.12450194358825684,NVIDIA GeForce RTX 3060 Ti,7311,8192,49
8,simple,short,502,12.519776105880737,0.024939793039603062,40.096563688882796,8.308631122112274,NVIDIA GeForce RTX 3060 Ti,7314,8192,46
32,simple,short,1391,35.03428936004639,0.025186405003627885,39.70395933266215,13.162107490003109,NVIDIA GeForce RTX 3060 Ti,7421,8192,42
128,simple,short,9088,268.5707302093506,0.029552237038881008,33.83838586176503,133.20887243933976,NVIDIA GeForce RTX 3060 Ti,7637,8192,53
1,simple,short,10,0.3970010280609131,0.039700102806091306,25.18885164817676,0.13899970054626465,NVIDIA GeForce RTX 3060 Ti,7631,8192,53
8,simple,short,1091,32.19376754760742,0.029508494544094797,33.88854685574323,10.80821344256401,NVIDIA GeForce RTX 3060 Ti,7596,8192,58
32,simple,short,2151,64.90503644943237,0.030174354462776557,33.14072555333742,23.40436442196369,NVIDIA GeForce RTX 3060 Ti,7473,8192,58
128,simple,short,8418,246.75054597854614,0.029312253026674524,34.11542603326968,122.77601027488708,NVIDIA GeForce RTX 3060 Ti,7570,8192,52
1,simple,short,4,0.23000073432922363,0.05750018358230591,17.39124882216415,0.14200186729431152,NVIDIA GeForce RTX 3060 Ti,7567,8192,51
